epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2943,1.91138,3.0367,1.83043,0.68605,0.29594,0.33258,0.15841,1.90326,1.84628,1.93586,0.000220768,0.000220768,0.000220768
2,43.9204,1.84145,1.83807,1.72231,0.61903,0.41348,0.43635,0.20618,1.87275,1.55878,1.88116,0.000434328,0.000434328,0.000434328
3,63.751,1.78288,1.66606,1.68156,0.6759,0.42052,0.44006,0.20668,1.8542,1.48713,1.89165,0.000639083,0.000639083,0.000639083
4,83.3743,1.7497,1.59026,1.66433,0.81568,0.38291,0.45985,0.21229,1.88369,1.46914,1.91166,0.00062738,0.00062738,0.00062738
5,103.725,1.75147,1.57853,1.6723,0.64086,0.40721,0.44962,0.21326,1.87274,1.41665,1.86606,0.000614174,0.000614174,0.000614174
6,123.766,1.71566,1.50382,1.6465,0.73804,0.42243,0.48449,0.23415,1.84179,1.35135,1.83792,0.000600967,0.000600967,0.000600967
7,143.562,1.70792,1.47434,1.64176,0.52958,0.47235,0.48642,0.23093,1.82853,1.3499,1.81694,0.00058776,0.00058776,0.00058776
8,164.24,1.67191,1.41613,1.61563,0.58186,0.44708,0.48827,0.2355,1.81575,1.36279,1.81772,0.000574554,0.000574554,0.000574554
9,184.008,1.66429,1.39774,1.61106,0.54004,0.49821,0.50133,0.23957,1.81747,1.31168,1.81113,0.000561347,0.000561347,0.000561347
10,205.176,1.64985,1.34442,1.60199,0.57178,0.46841,0.51501,0.24859,1.79584,1.2906,1.79693,0.000548141,0.000548141,0.000548141
11,225.062,1.66961,1.36776,1.59961,0.62314,0.49658,0.526,0.25305,1.79296,1.2735,1.79813,0.000534934,0.000534934,0.000534934
12,245.311,1.62339,1.29449,1.56664,0.70511,0.50238,0.5274,0.24293,1.7899,1.27422,1.80219,0.000521727,0.000521727,0.000521727
13,265.465,1.63679,1.30673,1.58299,0.57584,0.51172,0.51767,0.2425,1.81733,1.26955,1.79277,0.000508521,0.000508521,0.000508521
14,285.589,1.62482,1.27912,1.56126,0.61546,0.5009,0.51968,0.25218,1.8,1.23541,1.8015,0.000495314,0.000495314,0.000495314
15,305.674,1.62045,1.26047,1.55956,0.64999,0.48674,0.51349,0.24522,1.77828,1.22159,1.79535,0.000482108,0.000482108,0.000482108
16,325.861,1.60146,1.23772,1.54948,0.78694,0.46812,0.53984,0.2587,1.7794,1.21137,1.7781,0.000468901,0.000468901,0.000468901
17,346.616,1.59754,1.22675,1.54978,0.75438,0.47333,0.5392,0.25901,1.79153,1.21374,1.80632,0.000455694,0.000455694,0.000455694
18,366.713,1.58066,1.22291,1.55342,0.49892,0.50499,0.5307,0.25546,1.78625,1.19733,1.79385,0.000442488,0.000442488,0.000442488
19,386.844,1.57065,1.192,1.54033,0.83931,0.48094,0.52885,0.25811,1.77057,1.16623,1.76885,0.000429281,0.000429281,0.000429281
20,407.452,1.55539,1.16877,1.53236,0.81368,0.48376,0.55334,0.26159,1.79227,1.17771,1.80383,0.000416075,0.000416075,0.000416075
21,428.199,1.54836,1.17255,1.52584,0.78098,0.44168,0.51404,0.2507,1.77171,1.19874,1.78751,0.000402868,0.000402868,0.000402868
22,448.931,1.56299,1.17259,1.52712,0.72721,0.49802,0.52981,0.26186,1.7632,1.1635,1.77428,0.000389661,0.000389661,0.000389661
23,468.645,1.53536,1.13247,1.51386,0.60146,0.53644,0.54393,0.26066,1.76112,1.14532,1.78021,0.000376455,0.000376455,0.000376455
24,488.335,1.54428,1.15281,1.53941,0.62063,0.52354,0.54434,0.26191,1.77882,1.12779,1.799,0.000363248,0.000363248,0.000363248
25,508.313,1.53596,1.12016,1.52208,0.51596,0.5215,0.53656,0.26165,1.76333,1.14029,1.76529,0.000350042,0.000350042,0.000350042
26,528.325,1.52577,1.09216,1.4956,0.7029,0.52629,0.55667,0.26687,1.74984,1.12723,1.77603,0.000336835,0.000336835,0.000336835
27,548.139,1.50548,1.08455,1.47637,0.66477,0.50806,0.54575,0.26699,1.75926,1.12749,1.78447,0.000323628,0.000323628,0.000323628
28,568.01,1.51175,1.07848,1.49459,0.73772,0.51298,0.55278,0.26548,1.77423,1.12063,1.78997,0.000310422,0.000310422,0.000310422
29,588.279,1.49087,1.06744,1.48374,0.68249,0.51765,0.55767,0.27067,1.75481,1.09724,1.77591,0.000297215,0.000297215,0.000297215
30,608.423,1.49761,1.06653,1.48269,0.49856,0.52057,0.52764,0.25951,1.76535,1.1314,1.78379,0.000284009,0.000284009,0.000284009
31,628.851,1.47325,1.05649,1.47504,0.81469,0.49827,0.55395,0.27191,1.74889,1.09552,1.7764,0.000270802,0.000270802,0.000270802
32,648.624,1.46663,1.02791,1.46622,0.63616,0.49764,0.54653,0.25923,1.78421,1.12221,1.79587,0.000257595,0.000257595,0.000257595
33,668.759,1.47029,1.02363,1.45214,0.60316,0.52604,0.55122,0.27088,1.75167,1.0965,1.77533,0.000244389,0.000244389,0.000244389
34,688.597,1.46017,1.00873,1.46175,0.51597,0.54688,0.55385,0.26648,1.75756,1.08382,1.78377,0.000231182,0.000231182,0.000231182
35,708.579,1.47269,1.01993,1.45831,0.59574,0.52724,0.55394,0.26808,1.75979,1.0871,1.77235,0.000217976,0.000217976,0.000217976
36,728.531,1.47093,1.00509,1.43746,0.55733,0.52809,0.55543,0.27593,1.75751,1.07553,1.78321,0.000204769,0.000204769,0.000204769
37,748.562,1.44348,0.99194,1.43438,0.51769,0.52334,0.54162,0.26675,1.75167,1.08374,1.78082,0.000191562,0.000191562,0.000191562
38,769.171,1.42978,0.97606,1.44244,0.53319,0.53848,0.5462,0.26965,1.76324,1.07106,1.78738,0.000178356,0.000178356,0.000178356
39,789.596,1.42982,0.97696,1.43168,0.64814,0.53316,0.55101,0.27135,1.76154,1.07428,1.79263,0.000165149,0.000165149,0.000165149
40,809.511,1.42274,0.96748,1.43566,0.55242,0.5437,0.56206,0.27511,1.74329,1.05065,1.77201,0.000151943,0.000151943,0.000151943
41,845.47,1.44177,0.94568,1.51671,0.56663,0.53283,0.54521,0.26578,1.75247,1.07477,1.79102,0.000138736,0.000138736,0.000138736
42,864.848,1.41274,0.92492,1.51078,0.52305,0.51917,0.54268,0.2634,1.76182,1.0737,1.79811,0.000125529,0.000125529,0.000125529
43,884.074,1.39739,0.90161,1.47754,0.56452,0.54424,0.55791,0.27217,1.74769,1.05624,1.781,0.000112323,0.000112323,0.000112323
44,903.659,1.37763,0.87816,1.47509,0.6159,0.53568,0.56297,0.27197,1.75096,1.04547,1.78401,9.91162e-05,9.91162e-05,9.91162e-05
45,923.106,1.36842,0.87033,1.45205,0.62452,0.5356,0.56442,0.27066,1.75479,1.05008,1.78474,8.59096e-05,8.59096e-05,8.59096e-05
46,942.775,1.37259,0.86614,1.46379,0.57977,0.53699,0.56061,0.27186,1.75289,1.05379,1.79029,7.2703e-05,7.2703e-05,7.2703e-05
47,962.906,1.36087,0.86324,1.45798,0.57943,0.52381,0.56595,0.27668,1.74119,1.03598,1.78028,5.94964e-05,5.94964e-05,5.94964e-05
48,981.929,1.34956,0.84356,1.44389,0.56705,0.53971,0.56628,0.27804,1.75036,1.03362,1.78647,4.62898e-05,4.62898e-05,4.62898e-05
49,1001.54,1.3438,0.84574,1.43965,0.57558,0.53872,0.56299,0.27594,1.74453,1.03306,1.78369,3.30832e-05,3.30832e-05,3.30832e-05
50,1021.22,1.33513,0.84189,1.43736,0.66222,0.52215,0.5616,0.27298,1.74861,1.03419,1.79001,1.98766e-05,1.98766e-05,1.98766e-05
